Genus,Species,Genus Specis,Common Name,Compound Name,Reference (Nature format)
Convallaria,majalis,Convallaria majalis,Lily of the valley,2-Azetidinecarboxylic Acid,"Fowden, L. Nitrogenous Compounds and Nitrogen Metabolism in the Liliaceae. 6. CHANGES IN NITROGENOUS COMPOSITION DURING THE GROWTH OF CONVALLARIA AND POLYGONATUM*. Biochem . J. 71, 643 (1959). "
Convallaria,majalis,Convallaria majalis,Lily of the valley,2-Azetidinecarboxylic Acid,"Norris, R. D. & Fowden, L. Substrate discrimination by prolyl-tRNA synthetase from various higher plants. Phytochemistry 11, 2921-2935 (1972). https://doi.org/10.1016/0031-9422(72)80082-7"
Convallaria,majalis,Convallaria majalis,Lily of the valley,2-Azetidinecarboxylic Acid,"Minakata, H. et al. Antimutagenic unusual amino acids from plants. Experientia 41, 1622-1623 (1985). https://doi.org/10.1007/bf01964840"
Convallaria,majalis,Convallaria majalis,Lily of the valley,2-Azetidinecarboxylic Acid,"Leete, E., Louters, L. L. & Rao, H. S. P. Biosynthesis of azetidine-2-carboxylic acid in Convallaria majalis: studies with nitrogen-15 labeled precursors. Phytochemistry 25, 2753-2758 (1986). https://doi.org/10.1016/s0031-9422(00)83735-8"
Convallaria,majalis,Convallaria majalis,Lily of the valley,2-Azetidinecarboxylic Acid,"Ivanovic, S. et al. Plant Metabolomics as a Tool for Detecting Adulterants in Edible Plant: A Case Study of Allium ursinum. Metabolites 12 (2022). https://doi.org/10.3390/metabo12090849"
Danae,racemosa,Danae racemosa,Poet's laurel,2-Azetidinecarboxylic Acid,"Fowden, L. Azetidine-2-carboxylic acid: a new cyclic imino acid occurring in plants. Biochem J 64, 323-332 (1956). https://doi.org/10.1042/bj0640323"
Danae,racemosa,Danae racemosa,Poet's laurel,2-Azetidinecarboxylic Acid,"Fowden, L. & Steward, F. C. Nitrogenous compounds and nitrogen metabolism in the Liliaceae: I. The occurrence of soluble nitrogenous compounds. Ann Bot-London 21, 53-67 (1957). https://doi.org/10.1093/oxfordjournals.aob.a083556"
Delonix,regia,Delonix regia,,2-Azetidinecarboxylic Acid,"Sung, M.-L. & Fowden, L. Azetidine-2-carboxylic acid from the legume Delonix Regia. Phytochemistry 8, 2095-2096 (1969)."
Delonix,regia,Delonix regia,,2-Azetidinecarboxylic Acid,"Norris, R. D. & Fowden, L. Substrate discrimination by prolyl-tRNA synthetase from various higher plants. Phytochemistry 11, 2921-2935 (1972). https://doi.org/10.1016/0031-9422(72)80082-7"
Dendrobium,officinale,Dendrobium officinale,,2-Azetidinecarboxylic Acid,"Zhou, D. et al. Traditional processing increases biological activities of Dendrobium offificinale Kimura et. Migo in Southeast Yunnan, China. Scientific Reports 12, 14814 (2022). https://doi.org/10.1038/s41598-022-17628-8"
Disporopsis ,aspera,Disporopsis  aspera,,2-Azetidinecarboxylic Acid,"Han, L. et al. Antifungal activity of L-azetidine-2-carboxylic acid isolated from Disporopsis aspera rhizomes against Podosphaera xanthii. Pest Management Science 78, 1946-1952 (2022). https://doi.org/10.1002/ps.6812"
Dracaena,fragrans,Dracaena fragrans,,2-Azetidinecarboxylic Acid,"Fowden, L. Azetidine-2-carboxylic acid: a new cyclic imino acid occurring in plants. Biochem J 64, 323-332 (1956). https://doi.org/10.1042/bj0640323"
Dracaena,fragrans,Dracaena fragrans,,2-Azetidinecarboxylic Acid,"Fowden, L. & Steward, F. C. Nitrogenous compounds and nitrogen metabolism in the Liliaceae: I. The occurrence of soluble nitrogenous compounds. Ann Bot-London 21, 53-67 (1957). https://doi.org/10.1093/oxfordjournals.aob.a083556"
Dracaena,godseffiana,Dracaena godseffiana,Florida beauty,2-Azetidinecarboxylic Acid,"Fowden, L. Azetidine-2-carboxylic acid: a new cyclic imino acid occurring in plants. Biochem J 64, 323-332 (1956). https://doi.org/10.1042/bj0640323"
Dracaena,godseffiana,Dracaena godseffiana,Florida beauty,2-Azetidinecarboxylic Acid,"Fowden, L. & Steward, F. C. Nitrogenous compounds and nitrogen metabolism in the Liliaceae: I. The occurrence of soluble nitrogenous compounds. Ann Bot-London 21, 53-67 (1957). https://doi.org/10.1093/oxfordjournals.aob.a083556"
Dracaena,sanderiana,Dracaena sanderiana,Chinese water bamboo,2-Azetidinecarboxylic Acid,"Fowden, L. Azetidine-2-carboxylic acid: a new cyclic imino acid occurring in plants. Biochem J 64, 323-332 (1956). https://doi.org/10.1042/bj0640323"
Dracaena,sanderiana,Dracaena sanderiana,Chinese water bamboo,2-Azetidinecarboxylic Acid,"Fowden, L. & Steward, F. C. Nitrogenous compounds and nitrogen metabolism in the Liliaceae: I. The occurrence of soluble nitrogenous compounds. Ann Bot-London 21, 53-67 (1957). https://doi.org/10.1093/oxfordjournals.aob.a083556"
Hosta,sieboldiana,Hosta sieboldiana,Elegans,2-Azetidinecarboxylic Acid,"Fowden, L. Azetidine-2-carboxylic acid: a new cyclic imino acid occurring in plants. Biochem J 64, 323-332 (1956). https://doi.org/10.1042/bj0640323"
Liatris,spicata,Liatris spicata,Desert blazing star,2-Azetidinecarboxylic Acid,"Fowden, L. Azetidine-2-carboxylic acid: a new cyclic imino acid occurring in plants. Biochem J 64, 323-332 (1956). https://doi.org/10.1042/bj0640323"
Liliope,tawadae,Liliope tawadae,Liriope spicata,2-Azetidinecarboxylic Acid,"Minakata, H. et al. Antimutagenic unusual amino acids from plants. Experientia 41, 1622-1623 (1985). https://doi.org/10.1007/bf01964840"
Liriope,muscari,Liriope muscari,Lily turf,2-Azetidinecarboxylic Acid,"Fowden, L. Azetidine-2-carboxylic acid: a new cyclic imino acid occurring in plants. Biochem J 64, 323-332 (1956). https://doi.org/10.1042/bj0640323"
Liriope,muscari,Liriope muscari,Lily turf,2-Azetidinecarboxylic Acid,"Fowden, L. & Steward, F. C. Nitrogenous compounds and nitrogen metabolism in the Liliaceae: I. The occurrence of soluble nitrogenous compounds. Ann Bot-London 21, 53-67 (1957). https://doi.org/10.1093/oxfordjournals.aob.a083556"
Liriope,spicata,Liriope spicata,Creeping lily turf,2-Azetidinecarboxylic Acid,"Fowden, L. & Steward, F. C. Nitrogenous compounds and nitrogen metabolism in the Liliaceae: I. The occurrence of soluble nitrogenous compounds. Ann Bot-London 21, 53-67 (1957). https://doi.org/10.1093/oxfordjournals.aob.a083556"
Littonia,modesta,Littonia modesta,,2-Azetidinecarboxylic Acid,"Fowden, L. Azetidine-2-carboxylic acid: a new cyclic imino acid occurring in plants. Biochem J 64, 323-332 (1956). https://doi.org/10.1042/bj0640323"
Littonia,modesta,Littonia modesta,,2-Azetidinecarboxylic Acid,"Fowden, L. & Steward, F. C. Nitrogenous compounds and nitrogen metabolism in the Liliaceae: I. The occurrence of soluble nitrogenous compounds. Ann Bot-London 21, 53-67 (1957). https://doi.org/10.1093/oxfordjournals.aob.a083556"
Maianthemum,canadense,Maianthemum canadense,Canada mayflower,2-Azetidinecarboxylic Acid,"Fowden, L. Azetidine-2-carboxylic acid: a new cyclic imino acid occurring in plants. Biochem J 64, 323-332 (1956). https://doi.org/10.1042/bj0640323"
Maianthemum,canadense,Maianthemum canadense,Canada mayflower,2-Azetidinecarboxylic Acid,"Fowden, L. & Steward, F. C. Nitrogenous compounds and nitrogen metabolism in the Liliaceae: I. The occurrence of soluble nitrogenous compounds. Ann Bot-London 21, 53-67 (1957). https://doi.org/10.1093/oxfordjournals.aob.a083556"
Ophiopogon,japonicus,Ophiopogon japonicus,dwarf lilyturf,2-Azetidinecarboxylic Acid,"Minakata, H. et al. Antimutagenic unusual amino acids from plants. Experientia 41, 1622-1623 (1985). https://doi.org/10.1007/bf01964840"
Parkinsonia,aculeata,Parkinsonia aculeata,Jerusalem thorn,2-Azetidinecarboxylic Acid,"Norris, R. D. & Fowden, L. Substrate discrimination by prolyl-tRNA synthetase from various higher plants. Phytochemistry 11, 2921-2935 (1972). https://doi.org/10.1016/0031-9422(72)80082-7"
Polygonatum,multiflorum,Polygonatum multiflorum,Solomon's seal (Close to concetration of other free a.a.),2-Azetidinecarboxylic Acid,"Fowden, L. & Bryant, M. Nitrogenous compounds and nitrogen metabolism in the Liliaceae. 4. Isolation of azetidine-2-carboxylic acid and evidence for the occurence of alpha gamma-diaminobutyric acid in Polygonatum. Biochem J 70, 626-629 (1958). https://doi.org/10.1042/bj0700626"
Polygonatum,multiflorum,Polygonatum multiflorum,Solomon's seal (Close to concetration of other free a.a.),2-Azetidinecarboxylic Acid,"Fowden, L. Nitrogenous Compounds and Nitrogen Metabolism in the Liliaceae. 6. CHANGES IN NITROGENOUS COMPOSITION DURING THE GROWTH OF CONVALLARIA AND POLYGONATUM*. Biochem . J. 71, 643 (1959). "
Polygonatum,odoratum ,Polygonatum odoratum ,scented Solomon's seal,2-Azetidinecarboxylic Acid,"Minakata, H. et al. Antimutagenic unusual amino acids from plants. Experientia 41, 1622-1623 (1985). https://doi.org/10.1007/bf01964840"
Polygonatum,odoratum ,Polygonatum odoratum ,scented Solomon's seal,2-Azetidinecarboxylic Acid,"Baek, S.-H. et al. Gas chromatographic determination of azetidine-2-carboxylic acid in rhizomes of Polygonatum sibiricum and Polygonatum odoratum. J Food Compos Anal 25, 137-141 (2012). https://doi.org/10.1016/j.jfca.2011.09.005"
Polygonatum,officinale,Polygonatum officinale,Angular Solomon's seal,2-Azetidinecarboxylic Acid,"Virtanen, A. I. A new imino-acid in some Liliacaea. Nature 176, 984 (1955). "
Polygonatum,sibiricum,Polygonatum sibiricum,,2-Azetidinecarboxylic Acid,"Baek, S.-H. et al. Gas chromatographic determination of azetidine-2-carboxylic acid in rhizomes of Polygonatum sibiricum and Polygonatum odoratum. J Food Compos Anal 25, 137-141 (2012). https://doi.org/10.1016/j.jfca.2011.09.005"
Polygonatum,sibiricum,Polygonatum sibiricum,,2-Azetidinecarboxylic Acid,"Kim, H. S., Lee, A. Y., Choi, G., Kang, Y. M. & Kim, H. K. Development of Ultra-Performance Liquid Chromatography Method Using Hydrophilic Interaction Liquid Chromatography for Quantification of Azetidine-2-Carboxylic Acid in Rhizomes of  F. Delaroche. J Liq Chromatogr R T 38, 1515-1520 (2015). https://doi.org/10.1080/10826076.2015.1057643"
Polygonatum,sparsifolium,Polygonatum sparsifolium,,2-Azetidinecarboxylic Acid,"Fowden, L. Azetidine-2-carboxylic acid: a new cyclic imino acid occurring in plants. Biochem J 64, 323-332 (1956). https://doi.org/10.1042/bj0640323"
Rohdea,japonica,Rohdea japonica,Japanese sacred lily,2-Azetidinecarboxylic Acid,"Fowden, L. Azetidine-2-carboxylic acid: a new cyclic imino acid occurring in plants. Biochem J 64, 323-332 (1956). https://doi.org/10.1042/bj0640323"
Rohdea,japonica,Rohdea japonica,Japanese sacred lily,2-Azetidinecarboxylic Acid,"Fowden, L. & Steward, F. C. Nitrogenous compounds and nitrogen metabolism in the Liliaceae: I. The occurrence of soluble nitrogenous compounds. Ann Bot-London 21, 53-67 (1957). https://doi.org/10.1093/oxfordjournals.aob.a083556"
Ruscus,aculeatus,Ruscus aculeatus,Butcher's-broom,2-Azetidinecarboxylic Acid,"Fowden, L. Azetidine-2-carboxylic acid: a new cyclic imino acid occurring in plants. Biochem J 64, 323-332 (1956). https://doi.org/10.1042/bj0640323"
,,,,,"Fowden, L. & Steward, F. C. Nitrogenous compounds and nitrogen metabolism in the Liliaceae: I. The occurrence of soluble nitrogenous compounds. Ann Bot-London 21, 53-67 (1957). https://doi.org/10.1093/oxfordjournals.aob.a083556"
Smilacina ,racemosa,Smilacina  racemosa,False Solomon's seal,2-Azetidinecarboxylic Acid,"Fowden, L. & Steward, F. C. Nitrogenous compounds and nitrogen metabolism in the Liliaceae: I. The occurrence of soluble nitrogenous compounds. Ann Bot-London 21, 53-67 (1957). https://doi.org/10.1093/oxfordjournals.aob.a083556"
Acacia,berlandieri,Acacia berlandieri,,Mimosine,"Clement, B. A., Goff, C. M. & Forbes, T. D. A. Toxic amines and alkaloids from Acacia berlandieri. Phytochemistry 46, 249-254 (1997). https://doi.org/Doi 10.1016/S0031-9422(97)00240-9"
Leucaena,(species not specified),Leucaena (species not specified),,Mimosine,"Prasad, M. N. V. Analysis of Leucaena mimosine, Acacia tannins and total phenols by near infrared reflectance spectroscopy. Biomass and Bioenergy 8, 203-205 (1995). https://doi.org/10.1016/0961-9534(95)00010-5"
Leucaena,(species not specified),Leucaena (species not specified),,Mimosine,"Xuan, T. D., Elzaawely, A. A., Deba, F., Fukuta, M. & Tawata, S. Mimosine in Leucaena as a potent bio-herbicide. Agronomy for Sustainable Development 26, 89-97 (2006). https://doi.org/10.1051/agro:2006001"
Leucaena,buitenzorg,Leucaena buitenzorg,,Mimosine,"Brewbaker, J. L. & Hylin, J. W. Variation in mimosine content among Leucaena species and related Mimosaceae. Crop Science 5, 348-349 (1965). https://doi.org/10.2135/cropsci1965.0011183x000500040019x"
Leucaena,buitenzorg,Leucaena buitenzorg,,Mimosine,"Gonzalez, V., Brewbaker, J. L. & Hamill, D. E. Leucaena Cytogenetics in Relation to Breeding of Low Mimosine Lines. Crop Science 7, 140-+ (1967). https://doi.org/DOI 10.2135/cropsci1967.0011183X000700020014x"
Leucaena,diversifolia,Leucaena diversifolia,,Mimosine,"Soedarjo, M. & Borthakur, D. Mimosine, a toxin produced by the tree-legume Leucaena provides a nodulation competition advantage to mimosine-degrading Rhizobium strains. Soil Biology & Biochemistry 30, 1605-1613 (1998). https://doi.org/10.1016/s0038-0717(97)00180-6"
Leucaena,esculenta,Leucaena esculenta,,Mimosine,"Brewbaker, J. L. & Hylin, J. W. Variation in mimosine content among Leucaena species and related Mimosaceae. Crop Science 5, 348-349 (1965). https://doi.org/10.2135/cropsci1965.0011183x000500040019x"
Leucaena,esculenta,Leucaena esculenta,,Mimosine,"Gonzalez, V., Brewbaker, J. L. & Hamill, D. E. Leucaena Cytogenetics in Relation to Breeding of Low Mimosine Lines. Crop Science 7, 140-+ (1967). https://doi.org/DOI 10.2135/cropsci1967.0011183X000700020014x"
Leucaena,glauca,Leucaena glauca,,Mimosine,"Mascre, M. Compt. rend. 204, 890 (1937)."
Leucaena,glauca,Leucaena glauca,,Mimosine,"Bickel, A. F. On the structure of leucaenine (leucaenol) from Leucaena glauca Bentham. J Am Chem Soc 69, 1801-1803 (1947). https://doi.org/10.1021/ja01199a066"
Leucaena,glauca,Leucaena glauca,,Mimosine,"Hylin, J. W. Biosynthesis of mimosine. Phytochemistry 3, 161 (1964)."
Leucaena,glauca,Leucaena glauca,,Mimosine,"Hilal, S. H., Saber, A. H., Haggag, M. Y., El-Zalabani, S. M. & Ahmed, F. I. F. Protein, common amino acids and mimosine contents of Leucaena glauca Benth. cultivated in Egypt. Egyptian Journal of Pharmaceutical Sciences 32, 91-101 (1991). "
Leucaena,lanceolata,Leucaena lanceolata,,Mimosine,"Brewbaker, J. L. & Hylin, J. W. Variation in mimosine content among Leucaena species and related Mimosaceae. Crop Science 5, 348-349 (1965). https://doi.org/10.2135/cropsci1965.0011183x000500040019x"
Leucaena,lanceolata,Leucaena lanceolata,,Mimosine,"Gonzalez, V., Brewbaker, J. L. & Hamill, D. E. Leucaena Cytogenetics in Relation to Breeding of Low Mimosine Lines. Crop Science 7, 140-+ (1967). https://doi.org/DOI 10.2135/cropsci1967.0011183X000700020014x"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Brewbaker, J. L. & Hylin, J. W. Variation in mimosine content among Leucaena species and related Mimosaceae. Crop Science 5, 348-349 (1965). https://doi.org/10.2135/cropsci1965.0011183x000500040019x"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Hagarty, M. P. & Court, R. D. Aust. J. Agr. Res. 15, 165 (1964)."
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Gonzalez, V., Brewbaker, J. L. & Hamill, D. E. Leucaena Cytogenetics in Relation to Breeding of Low Mimosine Lines. Crop Science 7, 140-+ (1967). https://doi.org/DOI 10.2135/cropsci1967.0011183X000700020014x"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Murakoshi, I., Ohmiya, S. & Haginiwa, J. Mimoside. Glucosidic metabolite of mimosine in Mimosa pudica and Leucaena leucocephala. Chemical & Pharmaceutical Bulletin 19, 2655-2657 (1971). https://doi.org/10.1248/cpb.19.2655"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Megarrity, R. G. An automated colorimetric method for mimosine in Leucaena leaves. Journal of the Science of Food and Agriculture 29, 182-186 (1978). https://doi.org/10.1002/jsfa.2740290216"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Akbar, M. A. & Gupta, P. C. Mimosine in subabul (Leucaena leucocephala). Indian Journal of Dairy Science 37, 287-289 (1984)."
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Tangendjaja, B. & Wills, R. B. H. Analysis of mimosine and 3-hydroxy-4(1H)-pyridone by high-performance liquid chromatography. Journal of Chromatography 202, 317-318 (1980). https://doi.org/10.1016/s0021-9673("
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Acamovic, T. & Dmello, J. P. F. Determination of Mimosine by Ion-Exchange Chromatography. Journal of Chromatography 206, 416-420 (1981). https://doi.org/Doi 10.1016/S0021-9673(00)82559-5"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Mathews, A. & Rai, P. V. Mimosine content of Leucaena leucocephala and the sensitivity of Rhizobium to mimosine. Journal of Plant Physiology 117, 377-382 (1985). https://doi.org/10.1016/s0176-1617(85)80074-2"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Tangendjaja, B., Lowry, J. B. & Wills, R. B. H. Changes in mimosine, phenol, protein and fiber content of Leucaena leucocephala leaf during growth and development. Australian Journal of Experimental Agriculture 26, 315-317 (1986). https://doi.org/10.1071/ea9860315"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Wee, K. L. & Wang, S. S. Effect of post-harvest treatment on the degradation of mimosine in Leucaena leucocephala leave. Journal of the Science of Food and Agriculture 29, 195-201 (1987). https://doi.org/10.1002/jsfa.2740390302"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Dmello, J. P. F. Chemical Constraints to the Use of Tropical Legumes in Animal Nutrition. Anim Feed Sci Tech 38, 237-261 (1992). https://doi.org/Doi 10.1016/0377-8401(92)90105-F"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Avery, M. E. Characterization of nitrogenous solutes in tissues and xylem sap of Leucaena leucocephala. Tree Physiology 12, 23-40 (1993). https://doi.org/10.1093/treephys/12.1.23"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Lalitha, K., Vargheese, C. M. & Balasubramanian, N. Spectrophotometric determination of mimosine and 3-hydroxy-4-(1H)-pyridone--the toxic principles of Leucaena leucocephala. Anal Biochem 213, 57-62 (1993). https://doi.org/10.1006/abio.1993.1385"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Soedarjo, M. & Borthakur, D. Simple procedures to remove mimosine from young leaves, pods and seeds of Leucaena leucocephala used as food. Int J Food Sci Tech 31, 97-103 (1996). https://doi.org/DOI 10.1111/j.1365-2621.1996.24-321.x"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Soedarjo, M. & Borthakur, D. Mimosine, a toxin produced by the tree-legume Leucaena provides a nodulation competition advantage to mimosine-degrading Rhizobium strains. Soil Biology & Biochemistry 30, 1605-1613 (1998). https://doi.org/10.1016/s0038-0717(97)00180-6"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Vestena, S., Fett-Neto, A. G., Duarte, R. C. & Ferreira, A. G. Regulation of mimosine accumulation in Leucaena leucocephala seedlings. Plant Science (Shannon, Ireland) 161, 597-604 (2001). https://doi.org/10.1016/s0168-9452(01)00448-4"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Lalitha, K. & Kulothungan, S. R. Determination of mimosine by a sensitive indirect spectrophotometric method. Talanta 63, 635-640 (2004). https://doi.org/10.1016/j.talanta.2003.12.006"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Lalitha, K. & Kulothungan, S. R. Selective determination of mimosine and its dihydroxypyridinyl derivative in plant systems. Amino Acids 31, 279-287 (2006). https://doi.org/10.1007/s00726-005-0226-5"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Jube, S. L. R. & Borthakur, D. Transgenic Leucaena leucocephala expressing the Rhizobium gene pydA encoding a meta-cleavage dioxygenase shows reduced mimosine content. Plant Physiology and Biochemistry (Issy-les-Moulineaux, France) 48, 273-278 (2010). https://doi.org/10.1016/j.plaphy.2010.01.005"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Nokihara, K., Hirata, A., Sogon, T. & Ohyama, T. Preparative scale isolation, purification and derivatization of mimosine, a non-proteinogenic amino acid. Amino Acids 43, 475-482 (2012). https://doi.org/10.1007/s00726-011-1104-y"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Nirmal, N. P. & Benjakul, S. Inhibition of melanosis formation in Pacific white shrimp by the extract of lead (Leucaena leucocephala) seed. Food Chem 128, 427-432 (2011). https://doi.org/10.1016/j.foodchem.2011.03.048"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Wu, C. M., Yuan, H. M., Jia, G., Wang, Z. S. & Wu, X. Q. Determination of mimosine and 2,3-dihydroxypyridine in Leucaena Leucocephala by reversed phase high-performance liquid chromatography. Appl Mech Mater 140, 296-+ (2012). https://doi.org/10.4028/www.scientific.net/AMM.140.296"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Chai, T.-T., Ooh, K.-F., Ooi, P.-W., Chue, P.-S. & Wong, F.-C. Leucaena leucocephala leachate compromised membrane integrity, respiration and antioxidative defence of water hyacinth leaf tissues. Botanical Studies 54, 8/1-8/7 (2013). https://doi.org/10.1186/1999-3110-54-8"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Soltan, Y. A. et al. Contribution of condensed tannins and mimosine to the methane mitigation caused by feeding Leucaena leucocephala. Archives of Animal Nutrition 67, 169-184 (2013). https://doi.org/10.1080/1745039x.2013.801139"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Nguyen, B. C., Taira, N. & Tawata, S. Several herbal compounds in Okinawa plants directly inhibit the oncogenic/aging kinase PAK1. Drug Discov Ther 8, 238-244 (2014). https://doi.org/10.5582/ddt.2014.01045"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Ogita, S., Kato, M., Watanabe, S. & Ashihara, H. The co-occurrence of two pyridine alkaloids, mimosine and trigonelline, in Leucaena leucocephala. Zeitschrift fuer Naturforschung, C: Journal of Biosciences 69, 124-132 (2014). https://doi.org/10.5560/znc.2013-0137"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Mori, D., Ogita, S., Fujise, K., Inoue, A. & Sasamoto, H. Protoplast co-culture bioassay for allelopathy in leguminous plants, Leucaena leucocephala and Mucuna gigantea, containing allelochemical amino acids, mimosine and L-DOPA. Journal of Plant Studies 4, 1-11 (2015). https://doi.org/10.5539/jps.v4n1p1"
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Burawat, J., Uabandit, N., Arun, S., Nualkaew, S. & Iamsaard, S. Effects of Leucaena leucocephala (Lamk.) Shoot Tips Plus Young Leaf Extract Containing Mimosine on Reproductive System of Male Rats. Int J Morphol 36, 1062-1069 (2018). "
Leucaena,leucocephala,Leucaena leucocephala,"Lead Tree, River Tamarind",Mimosine,"Thamaga, M. W., Mokoboki, H. K., Sebola, N. A. & Ravhuhali, K. E. Apparent digestibility and nutritional composition of Leucaena leucocephala (Lam) leaf meal incorporated in the diets of Black Australorp and Potchefstroom Koekoek chicken breeds. Tropical animal health and production 53, 458 (2021). https://doi.org/10.1007/s11250-021-02922-w"
